71 not saved {'val_OrigRecLoss': 0.00243, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 4.23532, 'val_kl_Loss_FC': 3e-05, 'val_kl_Loss_TC': 218.08083, 'val_kl_Loss_MI': 5.70537}
72 not saved {'val_OrigRecLoss': 0.00236, 'val_FeatRecLoss': 0.00304, 'val_kl_Loss_Z': 2.51368, 'val_kl_Loss_FC': 0.00034, 'val_kl_Loss_TC': 218.09822, 'val_kl_Loss_MI': 5.70031}
73 not saved {'val_OrigRecLoss': 0.0023, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 0.45517, 'val_kl_Loss_FC': 0.00014, 'val_kl_Loss_TC': 218.16511, 'val_kl_Loss_MI': 5.71626}
74 not saved {'val_OrigRecLoss': 0.00231, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 9.10956, 'val_kl_Loss_FC': 0.0001, 'val_kl_Loss_TC': 218.16191, 'val_kl_Loss_MI': 5.71995}
75 not saved {'val_OrigRecLoss': 0.00226, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.98325, 'val_kl_Loss_FC': 0.00018, 'val_kl_Loss_TC': 217.92103, 'val_kl_Loss_MI': 5.6747}
76 not saved {'val_OrigRecLoss': 0.00233, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.84124, 'val_kl_Loss_FC': 0.00011, 'val_kl_Loss_TC': 217.59207, 'val_kl_Loss_MI': 5.61694}
77 not saved {'val_OrigRecLoss': 0.00241, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 1.83568, 'val_kl_Loss_FC': 0.00013, 'val_kl_Loss_TC': 217.85703, 'val_kl_Loss_MI': 5.67358}
78 not saved {'val_OrigRecLoss': 0.0022, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.19027, 'val_kl_Loss_FC': 0.00027, 'val_kl_Loss_TC': 217.61668, 'val_kl_Loss_MI': 5.625}
79 not saved {'val_OrigRecLoss': 0.00217, 'val_FeatRecLoss': 0.00303, 'val_kl_Loss_Z': 2.03584, 'val_kl_Loss_FC': 0.00023, 'val_kl_Loss_TC': 217.64294, 'val_kl_Loss_MI': 5.63562}
80 not saved {'val_OrigRecLoss': 0.00212, 'val_FeatRecLoss': 0.003, 'val_kl_Loss_Z': 6.87576, 'val_kl_Loss_FC': 0.00056, 'val_kl_Loss_TC': 219.11013, 'val_kl_Loss_MI': 5.84172}
81 not saved {'val_OrigRecLoss': 0.00226, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 1.37067, 'val_kl_Loss_FC': 0.00017, 'val_kl_Loss_TC': 218.13866, 'val_kl_Loss_MI': 5.71193}
82 not saved {'val_OrigRecLoss': 0.00218, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 12.07888, 'val_kl_Loss_FC': 4e-05, 'val_kl_Loss_TC': 217.77129, 'val_kl_Loss_MI': 5.64967}
83 not saved {'val_OrigRecLoss': 0.00211, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 3.01943, 'val_kl_Loss_FC': 0.0001, 'val_kl_Loss_TC': 217.84206, 'val_kl_Loss_MI': 5.66468}
84 not saved {'val_OrigRecLoss': 0.00207, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 3.02277, 'val_kl_Loss_FC': 7e-05, 'val_kl_Loss_TC': 217.57145, 'val_kl_Loss_MI': 5.61644}
85 not saved {'val_OrigRecLoss': 0.0021, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 2.85116, 'val_kl_Loss_FC': 2e-05, 'val_kl_Loss_TC': 217.39808, 'val_kl_Loss_MI': 5.5826}
86 not saved {'val_OrigRecLoss': 0.00203, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 2.47629, 'val_kl_Loss_FC': 0.00013, 'val_kl_Loss_TC': 217.35322, 'val_kl_Loss_MI': 5.57433}
87 saved {'val_OrigRecLoss': 0.00201, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 0.83611, 'val_kl_Loss_FC': 0.00021, 'val_kl_Loss_TC': 217.30412, 'val_kl_Loss_MI': 5.56501}
88 not saved {'val_OrigRecLoss': 0.002, 'val_FeatRecLoss': 0.00303, 'val_kl_Loss_Z': 3.26011, 'val_kl_Loss_FC': 0.00025, 'val_kl_Loss_TC': 217.37453, 'val_kl_Loss_MI': 5.58207}
89 not saved {'val_OrigRecLoss': 0.00206, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 3.54517, 'val_kl_Loss_FC': 0.00018, 'val_kl_Loss_TC': 217.61148, 'val_kl_Loss_MI': 5.62505}
90 not saved {'val_OrigRecLoss': 0.00199, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 2.18394, 'val_kl_Loss_FC': 0.00036, 'val_kl_Loss_TC': 217.59049, 'val_kl_Loss_MI': 5.62324}
91 not saved {'val_OrigRecLoss': 0.00201, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 5.09172, 'val_kl_Loss_FC': 0.00034, 'val_kl_Loss_TC': 217.40795, 'val_kl_Loss_MI': 5.58288}
92 not saved {'val_OrigRecLoss': 0.00209, 'val_FeatRecLoss': 0.00299, 'val_kl_Loss_Z': 7.58374, 'val_kl_Loss_FC': 0.00026, 'val_kl_Loss_TC': 217.68259, 'val_kl_Loss_MI': 5.62746}
93 not saved {'val_OrigRecLoss': 0.00194, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 3.14885, 'val_kl_Loss_FC': 3e-05, 'val_kl_Loss_TC': 217.81866, 'val_kl_Loss_MI': 5.67067}
94 not saved {'val_OrigRecLoss': 0.00195, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 7.40654, 'val_kl_Loss_FC': 0.00026, 'val_kl_Loss_TC': 217.27983, 'val_kl_Loss_MI': 5.54738}
95 not saved {'val_OrigRecLoss': 0.00195, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 4.12367, 'val_kl_Loss_FC': 0.00022, 'val_kl_Loss_TC': 217.86891, 'val_kl_Loss_MI': 5.65965}
