76 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.07778}
77 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.08667}
78 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.08379}
79 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.0755}
80 not saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.07331}
81 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.09042}
82 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.08266}
83 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.08083}
84 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.08832}
85 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.07525}
86 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.08915}
87 not saved {'val_OrigRecLoss': 0.01155, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.07721}
88 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.08902}
89 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.07257}
90 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.08026}
91 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.07597}
92 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.07776}
93 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.08006}
94 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.08731}
95 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.07535}
96 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.08408}
97 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.08075}
98 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.08566}
99 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.06825}
100 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.07652}
101 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.08244}
102 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.07424}
103 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.07971}
104 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.08993}
105 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.07959}
106 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.07973}
107 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.08836}
108 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.08005}
109 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.08088}
110 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.08676}
111 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.07249}
112 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.07692}
113 saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.08264}
