71 not saved {'val_ReconOut_gen': 0.00158, 'val_ReconOut_ext': 0.0013, 'val_FeatRecLoss': 0.00075, 'val_kl_Loss_Z': 0.81814, 'val_kl_Loss_FC': 0.87164}
72 not saved {'val_ReconOut_gen': 0.00157, 'val_ReconOut_ext': 0.00131, 'val_FeatRecLoss': 0.00076, 'val_kl_Loss_Z': 0.82874, 'val_kl_Loss_FC': 0.86154}
73 not saved {'val_ReconOut_gen': 0.00161, 'val_ReconOut_ext': 0.00131, 'val_FeatRecLoss': 0.00077, 'val_kl_Loss_Z': 0.8445, 'val_kl_Loss_FC': 0.88249}
74 saved {'val_ReconOut_gen': 0.00152, 'val_ReconOut_ext': 0.00126, 'val_FeatRecLoss': 0.00074, 'val_kl_Loss_Z': 0.83243, 'val_kl_Loss_FC': 0.91249}
75 not saved {'val_ReconOut_gen': 0.00157, 'val_ReconOut_ext': 0.00131, 'val_FeatRecLoss': 0.00075, 'val_kl_Loss_Z': 0.81728, 'val_kl_Loss_FC': 0.85992}
76 not saved {'val_ReconOut_gen': 0.00153, 'val_ReconOut_ext': 0.00127, 'val_FeatRecLoss': 0.00075, 'val_kl_Loss_Z': 0.82441, 'val_kl_Loss_FC': 0.88501}
77 not saved {'val_ReconOut_gen': 0.00157, 'val_ReconOut_ext': 0.00128, 'val_FeatRecLoss': 0.00075, 'val_kl_Loss_Z': 0.82978, 'val_kl_Loss_FC': 0.87592}
78 saved {'val_ReconOut_gen': 0.00152, 'val_ReconOut_ext': 0.00129, 'val_FeatRecLoss': 0.00074, 'val_kl_Loss_Z': 0.83561, 'val_kl_Loss_FC': 0.86356}
79 saved {'val_ReconOut_gen': 0.00152, 'val_ReconOut_ext': 0.00125, 'val_FeatRecLoss': 0.00075, 'val_kl_Loss_Z': 0.81979, 'val_kl_Loss_FC': 0.89729}
80 not saved {'val_ReconOut_gen': 0.00158, 'val_ReconOut_ext': 0.00129, 'val_FeatRecLoss': 0.00076, 'val_kl_Loss_Z': 0.80028, 'val_kl_Loss_FC': 0.86855}
81 not saved {'val_ReconOut_gen': 0.00153, 'val_ReconOut_ext': 0.0013, 'val_FeatRecLoss': 0.00075, 'val_kl_Loss_Z': 0.82091, 'val_kl_Loss_FC': 0.8425}
82 not saved {'val_ReconOut_gen': 0.00156, 'val_ReconOut_ext': 0.00131, 'val_FeatRecLoss': 0.00076, 'val_kl_Loss_Z': 0.80495, 'val_kl_Loss_FC': 0.84661}
83 not saved {'val_ReconOut_gen': 0.00155, 'val_ReconOut_ext': 0.0013, 'val_FeatRecLoss': 0.00074, 'val_kl_Loss_Z': 0.80059, 'val_kl_Loss_FC': 0.85587}
84 not saved {'val_ReconOut_gen': 0.00154, 'val_ReconOut_ext': 0.00127, 'val_FeatRecLoss': 0.00075, 'val_kl_Loss_Z': 0.81616, 'val_kl_Loss_FC': 0.88909}
85 not saved {'val_ReconOut_gen': 0.00156, 'val_ReconOut_ext': 0.00129, 'val_FeatRecLoss': 0.00075, 'val_kl_Loss_Z': 0.8183, 'val_kl_Loss_FC': 0.87365}
86 not saved {'val_ReconOut_gen': 0.00158, 'val_ReconOut_ext': 0.00129, 'val_FeatRecLoss': 0.00075, 'val_kl_Loss_Z': 0.817, 'val_kl_Loss_FC': 0.88729}
87 not saved {'val_ReconOut_gen': 0.00157, 'val_ReconOut_ext': 0.0013, 'val_FeatRecLoss': 0.00075, 'val_kl_Loss_Z': 0.81492, 'val_kl_Loss_FC': 0.86648}
88 not saved {'val_ReconOut_gen': 0.00155, 'val_ReconOut_ext': 0.00127, 'val_FeatRecLoss': 0.00073, 'val_kl_Loss_Z': 0.85329, 'val_kl_Loss_FC': 0.89306}
89 not saved {'val_ReconOut_gen': 0.00155, 'val_ReconOut_ext': 0.00127, 'val_FeatRecLoss': 0.00075, 'val_kl_Loss_Z': 0.82639, 'val_kl_Loss_FC': 0.88097}
90 not saved {'val_ReconOut_gen': 0.00153, 'val_ReconOut_ext': 0.00129, 'val_FeatRecLoss': 0.00074, 'val_kl_Loss_Z': 0.82409, 'val_kl_Loss_FC': 0.87321}
91 not saved {'val_ReconOut_gen': 0.00154, 'val_ReconOut_ext': 0.00128, 'val_FeatRecLoss': 0.00075, 'val_kl_Loss_Z': 0.82899, 'val_kl_Loss_FC': 0.87928}
92 not saved {'val_ReconOut_gen': 0.00162, 'val_ReconOut_ext': 0.0013, 'val_FeatRecLoss': 0.00076, 'val_kl_Loss_Z': 0.80631, 'val_kl_Loss_FC': 0.8389}
93 not saved {'val_ReconOut_gen': 0.00157, 'val_ReconOut_ext': 0.00132, 'val_FeatRecLoss': 0.00075, 'val_kl_Loss_Z': 0.83102, 'val_kl_Loss_FC': 0.85552}
94 not saved {'val_ReconOut_gen': 0.00153, 'val_ReconOut_ext': 0.00127, 'val_FeatRecLoss': 0.00073, 'val_kl_Loss_Z': 0.83114, 'val_kl_Loss_FC': 0.86964}
95 not saved {'val_ReconOut_gen': 0.00163, 'val_ReconOut_ext': 0.0013, 'val_FeatRecLoss': 0.00076, 'val_kl_Loss_Z': 0.82896, 'val_kl_Loss_FC': 0.86666}
96 not saved {'val_ReconOut_gen': 0.00156, 'val_ReconOut_ext': 0.00128, 'val_FeatRecLoss': 0.00074, 'val_kl_Loss_Z': 0.82646, 'val_kl_Loss_FC': 0.88662}
97 not saved {'val_ReconOut_gen': 0.00154, 'val_ReconOut_ext': 0.00127, 'val_FeatRecLoss': 0.00073, 'val_kl_Loss_Z': 0.82175, 'val_kl_Loss_FC': 0.88306}
98 not saved {'val_ReconOut_gen': 0.00153, 'val_ReconOut_ext': 0.00127, 'val_FeatRecLoss': 0.00073, 'val_kl_Loss_Z': 0.82122, 'val_kl_Loss_FC': 0.8947}
99 not saved {'val_ReconOut_gen': 0.00154, 'val_ReconOut_ext': 0.00131, 'val_FeatRecLoss': 0.00074, 'val_kl_Loss_Z': 0.81655, 'val_kl_Loss_FC': 0.85435}
100 saved {'val_ReconOut_gen': 0.00151, 'val_ReconOut_ext': 0.00128, 'val_FeatRecLoss': 0.00073, 'val_kl_Loss_Z': 0.83692, 'val_kl_Loss_FC': 0.87246}
101 not saved {'val_ReconOut_gen': 0.00154, 'val_ReconOut_ext': 0.00127, 'val_FeatRecLoss': 0.00074, 'val_kl_Loss_Z': 0.81341, 'val_kl_Loss_FC': 0.87992}
102 not saved {'val_ReconOut_gen': 0.00155, 'val_ReconOut_ext': 0.00128, 'val_FeatRecLoss': 0.00074, 'val_kl_Loss_Z': 0.80695, 'val_kl_Loss_FC': 0.87195}
103 not saved {'val_ReconOut_gen': 0.00154, 'val_ReconOut_ext': 0.00127, 'val_FeatRecLoss': 0.00073, 'val_kl_Loss_Z': 0.82564, 'val_kl_Loss_FC': 0.87094}
104 not saved {'val_ReconOut_gen': 0.00152, 'val_ReconOut_ext': 0.00126, 'val_FeatRecLoss': 0.00073, 'val_kl_Loss_Z': 0.83787, 'val_kl_Loss_FC': 0.90263}
105 not saved {'val_ReconOut_gen': 0.00153, 'val_ReconOut_ext': 0.00126, 'val_FeatRecLoss': 0.00073, 'val_kl_Loss_Z': 0.81321, 'val_kl_Loss_FC': 0.89596}
106 not saved {'val_ReconOut_gen': 0.00152, 'val_ReconOut_ext': 0.00127, 'val_FeatRecLoss': 0.00072, 'val_kl_Loss_Z': 0.84586, 'val_kl_Loss_FC': 0.88828}
107 not saved {'val_ReconOut_gen': 0.00158, 'val_ReconOut_ext': 0.00128, 'val_FeatRecLoss': 0.00076, 'val_kl_Loss_Z': 0.80934, 'val_kl_Loss_FC': 0.85476}
108 not saved {'val_ReconOut_gen': 0.00196, 'val_ReconOut_ext': 0.00133, 'val_FeatRecLoss': 0.00077, 'val_kl_Loss_Z': 0.78279, 'val_kl_Loss_FC': 1.04548}
109 saved {'val_ReconOut_gen': 0.00147, 'val_ReconOut_ext': 0.00127, 'val_FeatRecLoss': 0.00074, 'val_kl_Loss_Z': 0.90942, 'val_kl_Loss_FC': 0.87227}
110 not saved {'val_ReconOut_gen': 0.00152, 'val_ReconOut_ext': 0.00126, 'val_FeatRecLoss': 0.00073, 'val_kl_Loss_Z': 0.81768, 'val_kl_Loss_FC': 0.88213}
111 not saved {'val_ReconOut_gen': 0.00151, 'val_ReconOut_ext': 0.00127, 'val_FeatRecLoss': 0.00073, 'val_kl_Loss_Z': 0.82365, 'val_kl_Loss_FC': 0.87365}
112 not saved {'val_ReconOut_gen': 0.00154, 'val_ReconOut_ext': 0.00126, 'val_FeatRecLoss': 0.00074, 'val_kl_Loss_Z': 0.82255, 'val_kl_Loss_FC': 0.89635}
113 not saved {'val_ReconOut_gen': 0.0015, 'val_ReconOut_ext': 0.00128, 'val_FeatRecLoss': 0.00071, 'val_kl_Loss_Z': 0.82812, 'val_kl_Loss_FC': 0.87644}
114 not saved {'val_ReconOut_gen': 0.00151, 'val_ReconOut_ext': 0.00125, 'val_FeatRecLoss': 0.00072, 'val_kl_Loss_Z': 0.82973, 'val_kl_Loss_FC': 0.90642}
115 not saved {'val_ReconOut_gen': 0.00153, 'val_ReconOut_ext': 0.00129, 'val_FeatRecLoss': 0.00075, 'val_kl_Loss_Z': 0.8163, 'val_kl_Loss_FC': 0.8544}
116 not saved {'val_ReconOut_gen': 0.00152, 'val_ReconOut_ext': 0.00127, 'val_FeatRecLoss': 0.00076, 'val_kl_Loss_Z': 0.81079, 'val_kl_Loss_FC': 0.85534}
117 not saved {'val_ReconOut_gen': 0.0016, 'val_ReconOut_ext': 0.00131, 'val_FeatRecLoss': 0.00076, 'val_kl_Loss_Z': 0.80961, 'val_kl_Loss_FC': 0.84577}
118 not saved {'val_ReconOut_gen': 0.00153, 'val_ReconOut_ext': 0.00128, 'val_FeatRecLoss': 0.00074, 'val_kl_Loss_Z': 0.83474, 'val_kl_Loss_FC': 0.86077}
119 not saved {'val_ReconOut_gen': 0.00157, 'val_ReconOut_ext': 0.00129, 'val_FeatRecLoss': 0.00075, 'val_kl_Loss_Z': 0.80865, 'val_kl_Loss_FC': 0.85482}
120 not saved {'val_ReconOut_gen': 0.00151, 'val_ReconOut_ext': 0.00127, 'val_FeatRecLoss': 0.00072, 'val_kl_Loss_Z': 0.81886, 'val_kl_Loss_FC': 0.88194}
121 not saved {'val_ReconOut_gen': 0.00151, 'val_ReconOut_ext': 0.00126, 'val_FeatRecLoss': 0.00074, 'val_kl_Loss_Z': 0.83929, 'val_kl_Loss_FC': 0.86525}
122 not saved {'val_ReconOut_gen': 0.00155, 'val_ReconOut_ext': 0.00129, 'val_FeatRecLoss': 0.00074, 'val_kl_Loss_Z': 0.82047, 'val_kl_Loss_FC': 0.86521}
123 not saved {'val_ReconOut_gen': 0.00157, 'val_ReconOut_ext': 0.00129, 'val_FeatRecLoss': 0.00072, 'val_kl_Loss_Z': 0.8339, 'val_kl_Loss_FC': 0.87491}
124 not saved {'val_ReconOut_gen': 0.00152, 'val_ReconOut_ext': 0.00128, 'val_FeatRecLoss': 0.00074, 'val_kl_Loss_Z': 0.83583, 'val_kl_Loss_FC': 0.85548}
125 not saved {'val_ReconOut_gen': 0.00153, 'val_ReconOut_ext': 0.00128, 'val_FeatRecLoss': 0.00073, 'val_kl_Loss_Z': 0.81589, 'val_kl_Loss_FC': 0.86601}
126 not saved {'val_ReconOut_gen': 0.00152, 'val_ReconOut_ext': 0.00128, 'val_FeatRecLoss': 0.00073, 'val_kl_Loss_Z': 0.84222, 'val_kl_Loss_FC': 0.86366}
127 not saved {'val_ReconOut_gen': 0.00162, 'val_ReconOut_ext': 0.00129, 'val_FeatRecLoss': 0.00077, 'val_kl_Loss_Z': 0.81514, 'val_kl_Loss_FC': 0.86926}
128 not saved {'val_ReconOut_gen': 0.00152, 'val_ReconOut_ext': 0.00128, 'val_FeatRecLoss': 0.00073, 'val_kl_Loss_Z': 0.81256, 'val_kl_Loss_FC': 0.85722}
129 not saved {'val_ReconOut_gen': 0.00152, 'val_ReconOut_ext': 0.00126, 'val_FeatRecLoss': 0.00073, 'val_kl_Loss_Z': 0.81941, 'val_kl_Loss_FC': 0.87316}
130 not saved {'val_ReconOut_gen': 0.00157, 'val_ReconOut_ext': 0.00128, 'val_FeatRecLoss': 0.00073, 'val_kl_Loss_Z': 0.82073, 'val_kl_Loss_FC': 0.87602}
131 not saved {'val_ReconOut_gen': 0.00153, 'val_ReconOut_ext': 0.00123, 'val_FeatRecLoss': 0.00072, 'val_kl_Loss_Z': 0.84829, 'val_kl_Loss_FC': 0.92448}
132 not saved {'val_ReconOut_gen': 0.00158, 'val_ReconOut_ext': 0.0013, 'val_FeatRecLoss': 0.00075, 'val_kl_Loss_Z': 0.81159, 'val_kl_Loss_FC': 0.84523}
133 not saved {'val_ReconOut_gen': 0.00153, 'val_ReconOut_ext': 0.00127, 'val_FeatRecLoss': 0.00073, 'val_kl_Loss_Z': 0.82835, 'val_kl_Loss_FC': 0.87578}
134 not saved {'val_ReconOut_gen': 0.00153, 'val_ReconOut_ext': 0.00126, 'val_FeatRecLoss': 0.00073, 'val_kl_Loss_Z': 0.81652, 'val_kl_Loss_FC': 0.887}
135 not saved {'val_ReconOut_gen': 0.00154, 'val_ReconOut_ext': 0.00126, 'val_FeatRecLoss': 0.00073, 'val_kl_Loss_Z': 0.82317, 'val_kl_Loss_FC': 0.87938}
136 not saved {'val_ReconOut_gen': 0.00151, 'val_ReconOut_ext': 0.00124, 'val_FeatRecLoss': 0.00072, 'val_kl_Loss_Z': 0.83289, 'val_kl_Loss_FC': 0.90986}
