57 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 3.22995, 'val_kl_Loss_FC': 0.00249, 'val_kl_Loss_TC': 130.82956, 'val_kl_Loss_MI': 5.98791}
58 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 6.4824, 'val_kl_Loss_FC': 0.00196, 'val_kl_Loss_TC': 130.57707, 'val_kl_Loss_MI': 5.97305}
59 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 13.73312, 'val_kl_Loss_FC': 0.00328, 'val_kl_Loss_TC': 130.85915, 'val_kl_Loss_MI': 6.00717}
60 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 9.56195, 'val_kl_Loss_FC': 0.00172, 'val_kl_Loss_TC': 130.91308, 'val_kl_Loss_MI': 6.02451}
61 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 10.40148, 'val_kl_Loss_FC': 0.00356, 'val_kl_Loss_TC': 130.89337, 'val_kl_Loss_MI': 6.01664}
62 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 10.70261, 'val_kl_Loss_FC': 0.00221, 'val_kl_Loss_TC': 130.74923, 'val_kl_Loss_MI': 6.00555}
63 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 12.6747, 'val_kl_Loss_FC': 0.00241, 'val_kl_Loss_TC': 131.00899, 'val_kl_Loss_MI': 6.04018}
64 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 7.30152, 'val_kl_Loss_FC': 0.00308, 'val_kl_Loss_TC': 130.82703, 'val_kl_Loss_MI': 6.02373}
65 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.7239, 'val_kl_Loss_FC': 0.00154, 'val_kl_Loss_TC': 130.82043, 'val_kl_Loss_MI': 6.03573}
66 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 11.94828, 'val_kl_Loss_FC': 0.00212, 'val_kl_Loss_TC': 130.8915, 'val_kl_Loss_MI': 6.04456}
67 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 4.76314, 'val_kl_Loss_FC': 0.00242, 'val_kl_Loss_TC': 130.90376, 'val_kl_Loss_MI': 6.04692}
68 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 10.14598, 'val_kl_Loss_FC': 0.00199, 'val_kl_Loss_TC': 130.91007, 'val_kl_Loss_MI': 6.0576}
69 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 4.90486, 'val_kl_Loss_FC': 0.00224, 'val_kl_Loss_TC': 130.74855, 'val_kl_Loss_MI': 6.03617}
70 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 10.30208, 'val_kl_Loss_FC': 0.00213, 'val_kl_Loss_TC': 130.77084, 'val_kl_Loss_MI': 6.04642}
71 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 6.569, 'val_kl_Loss_FC': 0.00193, 'val_kl_Loss_TC': 130.62004, 'val_kl_Loss_MI': 6.03386}
72 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 11.62129, 'val_kl_Loss_FC': 0.00205, 'val_kl_Loss_TC': 130.75299, 'val_kl_Loss_MI': 6.06043}
73 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 6.31593, 'val_kl_Loss_FC': 0.00221, 'val_kl_Loss_TC': 130.69059, 'val_kl_Loss_MI': 6.05241}
