55 not saved {'val_OrigRecLoss': 0.00224, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 1.00125, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 125.91223, 'val_kl_Loss_MI': 5.80113}
56 not saved {'val_OrigRecLoss': 0.00219, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 2.98773, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 125.90709, 'val_kl_Loss_MI': 5.80314}
57 not saved {'val_OrigRecLoss': 0.00216, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 4.22346, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 125.98907, 'val_kl_Loss_MI': 5.81933}
58 not saved {'val_OrigRecLoss': 0.00219, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.56117, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 125.95125, 'val_kl_Loss_MI': 5.81329}
59 saved {'val_OrigRecLoss': 0.00236, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 4.25969, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 126.08813, 'val_kl_Loss_MI': 5.84395}
60 not saved {'val_OrigRecLoss': 0.00214, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 3.51302, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 125.98073, 'val_kl_Loss_MI': 5.82676}
61 not saved {'val_OrigRecLoss': 0.00207, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.52151, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 125.94474, 'val_kl_Loss_MI': 5.82721}
62 not saved {'val_OrigRecLoss': 0.00208, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 1.80316, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 125.90659, 'val_kl_Loss_MI': 5.82576}
63 not saved {'val_OrigRecLoss': 0.00219, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 3.52017, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 125.94956, 'val_kl_Loss_MI': 5.84006}
64 not saved {'val_OrigRecLoss': 0.00207, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 2.14853, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 125.95852, 'val_kl_Loss_MI': 5.84671}
65 not saved {'val_OrigRecLoss': 0.00206, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 4.73125, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.05844, 'val_kl_Loss_MI': 5.87158}
66 not saved {'val_OrigRecLoss': 0.00198, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 2.25134, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 125.97774, 'val_kl_Loss_MI': 5.86574}
67 not saved {'val_OrigRecLoss': 0.00197, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 2.60646, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 125.90319, 'val_kl_Loss_MI': 5.85518}
