75 saved {'val_OrigRecLoss': 0.00303, 'val_FeatRecLoss': 0.00141, 'val_kl_Loss_Z': 0.43643}
76 saved {'val_OrigRecLoss': 0.00302, 'val_FeatRecLoss': 0.00136, 'val_kl_Loss_Z': 0.32946}
77 not saved {'val_OrigRecLoss': 0.00306, 'val_FeatRecLoss': 0.00131, 'val_kl_Loss_Z': 0.28304}
78 not saved {'val_OrigRecLoss': 0.00306, 'val_FeatRecLoss': 0.00125, 'val_kl_Loss_Z': 0.27693}
79 saved {'val_OrigRecLoss': 0.00293, 'val_FeatRecLoss': 0.00164, 'val_kl_Loss_Z': 0.30842}
80 saved {'val_OrigRecLoss': 0.00291, 'val_FeatRecLoss': 0.00134, 'val_kl_Loss_Z': 0.2673}
81 saved {'val_OrigRecLoss': 0.00287, 'val_FeatRecLoss': 0.00135, 'val_kl_Loss_Z': 0.28344}
82 saved {'val_OrigRecLoss': 0.00287, 'val_FeatRecLoss': 0.00136, 'val_kl_Loss_Z': 0.54237}
83 saved {'val_OrigRecLoss': 0.00278, 'val_FeatRecLoss': 0.00139, 'val_kl_Loss_Z': 0.29026}
84 not saved {'val_OrigRecLoss': 0.00284, 'val_FeatRecLoss': 0.00133, 'val_kl_Loss_Z': 0.25656}
85 not saved {'val_OrigRecLoss': 0.00282, 'val_FeatRecLoss': 0.00126, 'val_kl_Loss_Z': 0.22455}
86 saved {'val_OrigRecLoss': 0.00263, 'val_FeatRecLoss': 0.00143, 'val_kl_Loss_Z': 0.23662}
87 not saved {'val_OrigRecLoss': 0.00268, 'val_FeatRecLoss': 0.00131, 'val_kl_Loss_Z': 0.21551}
88 not saved {'val_OrigRecLoss': 0.00263, 'val_FeatRecLoss': 0.00136, 'val_kl_Loss_Z': 0.234}
89 saved {'val_OrigRecLoss': 0.00258, 'val_FeatRecLoss': 0.00136, 'val_kl_Loss_Z': 0.21376}
90 saved {'val_OrigRecLoss': 0.00255, 'val_FeatRecLoss': 0.00133, 'val_kl_Loss_Z': 0.21222}
91 saved {'val_OrigRecLoss': 0.00249, 'val_FeatRecLoss': 0.00146, 'val_kl_Loss_Z': 0.21246}
92 not saved {'val_OrigRecLoss': 0.00256, 'val_FeatRecLoss': 0.00126, 'val_kl_Loss_Z': 0.19719}
93 not saved {'val_OrigRecLoss': 0.00258, 'val_FeatRecLoss': 0.00125, 'val_kl_Loss_Z': 0.21543}
94 not saved {'val_OrigRecLoss': 0.00254, 'val_FeatRecLoss': 0.00134, 'val_kl_Loss_Z': 0.19813}
95 saved {'val_OrigRecLoss': 0.0024, 'val_FeatRecLoss': 0.00144, 'val_kl_Loss_Z': 0.19313}
96 not saved {'val_OrigRecLoss': 0.00245, 'val_FeatRecLoss': 0.00129, 'val_kl_Loss_Z': 0.18783}
97 not saved {'val_OrigRecLoss': 0.00249, 'val_FeatRecLoss': 0.00125, 'val_kl_Loss_Z': 0.1705}
98 not saved {'val_OrigRecLoss': 0.00243, 'val_FeatRecLoss': 0.0013, 'val_kl_Loss_Z': 0.18373}
99 not saved {'val_OrigRecLoss': 0.00254, 'val_FeatRecLoss': 0.00118, 'val_kl_Loss_Z': 0.18431}
100 saved {'val_OrigRecLoss': 0.00233, 'val_FeatRecLoss': 0.00137, 'val_kl_Loss_Z': 0.20846}
101 not saved {'val_OrigRecLoss': 0.00246, 'val_FeatRecLoss': 0.0012, 'val_kl_Loss_Z': 0.17675}
102 not saved {'val_OrigRecLoss': 0.00244, 'val_FeatRecLoss': 0.00121, 'val_kl_Loss_Z': 0.18459}
103 not saved {'val_OrigRecLoss': 0.00238, 'val_FeatRecLoss': 0.00123, 'val_kl_Loss_Z': 0.18134}
104 not saved {'val_OrigRecLoss': 0.00237, 'val_FeatRecLoss': 0.00121, 'val_kl_Loss_Z': 0.18118}
105 not saved {'val_OrigRecLoss': 0.00245, 'val_FeatRecLoss': 0.00123, 'val_kl_Loss_Z': 0.16787}
106 not saved {'val_OrigRecLoss': 0.00253, 'val_FeatRecLoss': 0.00109, 'val_kl_Loss_Z': 0.15981}
107 not saved {'val_OrigRecLoss': 0.00234, 'val_FeatRecLoss': 0.00122, 'val_kl_Loss_Z': 0.18815}
108 saved {'val_OrigRecLoss': 0.00225, 'val_FeatRecLoss': 0.0013, 'val_kl_Loss_Z': 0.1904}
109 not saved {'val_OrigRecLoss': 0.00232, 'val_FeatRecLoss': 0.00119, 'val_kl_Loss_Z': 0.16565}
110 not saved {'val_OrigRecLoss': 0.00236, 'val_FeatRecLoss': 0.00115, 'val_kl_Loss_Z': 0.15448}
111 not saved {'val_OrigRecLoss': 0.00251, 'val_FeatRecLoss': 0.00105, 'val_kl_Loss_Z': 0.1787}
112 not saved {'val_OrigRecLoss': 0.00241, 'val_FeatRecLoss': 0.00115, 'val_kl_Loss_Z': 0.18589}
113 not saved {'val_OrigRecLoss': 0.00232, 'val_FeatRecLoss': 0.00114, 'val_kl_Loss_Z': 0.17575}
114 saved {'val_OrigRecLoss': 0.00222, 'val_FeatRecLoss': 0.00124, 'val_kl_Loss_Z': 0.16744}
115 not saved {'val_OrigRecLoss': 0.00226, 'val_FeatRecLoss': 0.00119, 'val_kl_Loss_Z': 0.20328}
