43 saved {'val_OrigRecLoss': 0.00486, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 0.09135, 'val_kl_Loss_FC': 0.00022, 'val_kl_Loss_TC': 0.00856, 'val_kl_Loss_DTC': 0.00206}
44 saved {'val_OrigRecLoss': 0.00443, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 0.09675, 'val_kl_Loss_FC': 8e-05, 'val_kl_Loss_TC': 0.00159, 'val_kl_Loss_DTC': 0.00222}
45 saved {'val_OrigRecLoss': 0.00413, 'val_FeatRecLoss': 0.00308, 'val_kl_Loss_Z': 0.09216, 'val_kl_Loss_FC': 0.00032, 'val_kl_Loss_TC': 0.00167, 'val_kl_Loss_DTC': 0.00392}
46 saved {'val_OrigRecLoss': 0.00398, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 0.09755, 'val_kl_Loss_FC': 0.00014, 'val_kl_Loss_TC': 0.00345, 'val_kl_Loss_DTC': 0.00081}
47 saved {'val_OrigRecLoss': 0.00378, 'val_FeatRecLoss': 0.00311, 'val_kl_Loss_Z': 0.10862, 'val_kl_Loss_FC': 6e-05, 'val_kl_Loss_TC': 0.00069, 'val_kl_Loss_DTC': 0.00671}
48 not saved {'val_OrigRecLoss': 0.00383, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 0.0883, 'val_kl_Loss_FC': 4e-05, 'val_kl_Loss_TC': 0.00375, 'val_kl_Loss_DTC': 0.00092}
49 saved {'val_OrigRecLoss': 0.00369, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 0.09314, 'val_kl_Loss_FC': 3e-05, 'val_kl_Loss_TC': 0.00469, 'val_kl_Loss_DTC': 0.00375}
50 saved {'val_OrigRecLoss': 0.0036, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 0.10234, 'val_kl_Loss_FC': 0.0001, 'val_kl_Loss_TC': 0.00033, 'val_kl_Loss_DTC': 0.00253}
51 saved {'val_OrigRecLoss': 0.00351, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 0.09015, 'val_kl_Loss_FC': 4e-05, 'val_kl_Loss_TC': 0.00421, 'val_kl_Loss_DTC': 0.00129}
52 saved {'val_OrigRecLoss': 0.00333, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 0.09853, 'val_kl_Loss_FC': 0.00017, 'val_kl_Loss_TC': 0.00264, 'val_kl_Loss_DTC': 0.00117}
53 not saved {'val_OrigRecLoss': 0.00337, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 0.09689, 'val_kl_Loss_FC': 0.00031, 'val_kl_Loss_TC': 0.00237, 'val_kl_Loss_DTC': 0.00495}
54 saved {'val_OrigRecLoss': 0.00328, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 0.0862, 'val_kl_Loss_FC': 0.00018, 'val_kl_Loss_TC': 0.00381, 'val_kl_Loss_DTC': 0.00224}
55 saved {'val_OrigRecLoss': 0.00318, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 0.09667, 'val_kl_Loss_FC': 3e-05, 'val_kl_Loss_TC': 0.00153, 'val_kl_Loss_DTC': 0.00295}
56 saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 0.09125, 'val_kl_Loss_FC': 3e-05, 'val_kl_Loss_TC': 0.00306, 'val_kl_Loss_DTC': 0.00109}
57 saved {'val_OrigRecLoss': 0.00303, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 0.08794, 'val_kl_Loss_FC': 3e-05, 'val_kl_Loss_TC': 0.00077, 'val_kl_Loss_DTC': 0.00153}
58 not saved {'val_OrigRecLoss': 0.00289, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 0.10399, 'val_kl_Loss_FC': 0.00012, 'val_kl_Loss_TC': 0.0042, 'val_kl_Loss_DTC': 0.00205}
59 not saved {'val_OrigRecLoss': 0.00295, 'val_FeatRecLoss': 0.00311, 'val_kl_Loss_Z': 0.08563, 'val_kl_Loss_FC': 3e-05, 'val_kl_Loss_TC': 0.00646, 'val_kl_Loss_DTC': 0.00109}
60 not saved {'val_OrigRecLoss': 0.00286, 'val_FeatRecLoss': 0.00311, 'val_kl_Loss_Z': 0.09928, 'val_kl_Loss_FC': 0.00014, 'val_kl_Loss_TC': 0.00391, 'val_kl_Loss_DTC': 0.00414}
61 saved {'val_OrigRecLoss': 0.00279, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 0.08206, 'val_kl_Loss_FC': 5e-05, 'val_kl_Loss_TC': 0.00281, 'val_kl_Loss_DTC': 0.00144}
62 not saved {'val_OrigRecLoss': 0.00284, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 0.08194, 'val_kl_Loss_FC': 6e-05, 'val_kl_Loss_TC': 0.00101, 'val_kl_Loss_DTC': 0.00117}
63 not saved {'val_OrigRecLoss': 0.00274, 'val_FeatRecLoss': 0.00311, 'val_kl_Loss_Z': 0.08706, 'val_kl_Loss_FC': 8e-05, 'val_kl_Loss_TC': 0.00089, 'val_kl_Loss_DTC': 0.00368}
64 not saved {'val_OrigRecLoss': 0.00271, 'val_FeatRecLoss': 0.00311, 'val_kl_Loss_Z': 0.09292, 'val_kl_Loss_FC': 0.00028, 'val_kl_Loss_TC': 0.00228, 'val_kl_Loss_DTC': 0.00365}
65 not saved {'val_OrigRecLoss': 0.00272, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 0.08312, 'val_kl_Loss_FC': 4e-05, 'val_kl_Loss_TC': 0.00213, 'val_kl_Loss_DTC': 0.0029}
66 not saved {'val_OrigRecLoss': 0.00271, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 0.08894, 'val_kl_Loss_FC': 0.00015, 'val_kl_Loss_TC': 0.00366, 'val_kl_Loss_DTC': 0.00134}
67 not saved {'val_OrigRecLoss': 0.00262, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 0.0951, 'val_kl_Loss_FC': 0.00033, 'val_kl_Loss_TC': 0.00073, 'val_kl_Loss_DTC': 0.00098}
68 not saved {'val_OrigRecLoss': 0.00274, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 0.08559, 'val_kl_Loss_FC': 0.0001, 'val_kl_Loss_TC': 0.00194, 'val_kl_Loss_DTC': 0.0009}
69 not saved {'val_OrigRecLoss': 0.00253, 'val_FeatRecLoss': 0.00311, 'val_kl_Loss_Z': 0.08174, 'val_kl_Loss_FC': 7e-05, 'val_kl_Loss_TC': 0.00111, 'val_kl_Loss_DTC': 0.00311}
70 saved {'val_OrigRecLoss': 0.00257, 'val_FeatRecLoss': 0.00308, 'val_kl_Loss_Z': 0.09428, 'val_kl_Loss_FC': 5e-05, 'val_kl_Loss_TC': 0.00208, 'val_kl_Loss_DTC': 0.00212}
71 not saved {'val_OrigRecLoss': 0.00264, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 0.09407, 'val_kl_Loss_FC': 2e-05, 'val_kl_Loss_TC': 0.00147, 'val_kl_Loss_DTC': 0.00235}
72 not saved {'val_OrigRecLoss': 0.00256, 'val_FeatRecLoss': 0.00311, 'val_kl_Loss_Z': 0.09139, 'val_kl_Loss_FC': 3e-05, 'val_kl_Loss_TC': 0.00297, 'val_kl_Loss_DTC': 0.00142}
73 not saved {'val_OrigRecLoss': 0.0025, 'val_FeatRecLoss': 0.00308, 'val_kl_Loss_Z': 0.09259, 'val_kl_Loss_FC': 0.0001, 'val_kl_Loss_TC': 0.0014, 'val_kl_Loss_DTC': 0.0011}
74 not saved {'val_OrigRecLoss': 0.00242, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 0.09281, 'val_kl_Loss_FC': 2e-05, 'val_kl_Loss_TC': 0.00312, 'val_kl_Loss_DTC': 0.00208}
75 not saved {'val_OrigRecLoss': 0.00257, 'val_FeatRecLoss': 0.00311, 'val_kl_Loss_Z': 0.08258, 'val_kl_Loss_FC': 9e-05, 'val_kl_Loss_TC': 0.00199, 'val_kl_Loss_DTC': 0.00116}
76 not saved {'val_OrigRecLoss': 0.00244, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 0.07612, 'val_kl_Loss_FC': 3e-05, 'val_kl_Loss_TC': 0.00114, 'val_kl_Loss_DTC': 0.00094}
77 not saved {'val_OrigRecLoss': 0.00237, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 0.07725, 'val_kl_Loss_FC': 2e-05, 'val_kl_Loss_TC': 0.00155, 'val_kl_Loss_DTC': 0.00285}
78 not saved {'val_OrigRecLoss': 0.00243, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 0.07544, 'val_kl_Loss_FC': 2e-05, 'val_kl_Loss_TC': 0.00506, 'val_kl_Loss_DTC': 0.00143}
79 not saved {'val_OrigRecLoss': 0.00232, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 0.0827, 'val_kl_Loss_FC': 0.00012, 'val_kl_Loss_TC': 0.00065, 'val_kl_Loss_DTC': 0.00132}
80 not saved {'val_OrigRecLoss': 0.00237, 'val_FeatRecLoss': 0.00308, 'val_kl_Loss_Z': 0.10267, 'val_kl_Loss_FC': 2e-05, 'val_kl_Loss_TC': 0.00275, 'val_kl_Loss_DTC': 0.00096}
81 not saved {'val_OrigRecLoss': 0.0023, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 0.0816, 'val_kl_Loss_FC': 5e-05, 'val_kl_Loss_TC': 0.00247, 'val_kl_Loss_DTC': 0.00054}
82 not saved {'val_OrigRecLoss': 0.00234, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 0.10371, 'val_kl_Loss_FC': 4e-05, 'val_kl_Loss_TC': 0.00083, 'val_kl_Loss_DTC': 0.00196}
83 not saved {'val_OrigRecLoss': 0.00228, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 0.08459, 'val_kl_Loss_FC': 8e-05, 'val_kl_Loss_TC': 0.00172, 'val_kl_Loss_DTC': 0.00127}
84 not saved {'val_OrigRecLoss': 0.00228, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 0.07968, 'val_kl_Loss_FC': 3e-05, 'val_kl_Loss_TC': 0.00214, 'val_kl_Loss_DTC': 0.00153}
85 not saved {'val_OrigRecLoss': 0.00222, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 0.08626, 'val_kl_Loss_FC': 3e-05, 'val_kl_Loss_TC': 0.00256, 'val_kl_Loss_DTC': 0.00092}
86 not saved {'val_OrigRecLoss': 0.0022, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 0.08058, 'val_kl_Loss_FC': 2e-05, 'val_kl_Loss_TC': 0.00097, 'val_kl_Loss_DTC': 0.00348}
87 not saved {'val_OrigRecLoss': 0.00225, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 0.07486, 'val_kl_Loss_FC': 4e-05, 'val_kl_Loss_TC': 0.00104, 'val_kl_Loss_DTC': 0.00167}
88 not saved {'val_OrigRecLoss': 0.00222, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 0.07943, 'val_kl_Loss_FC': 3e-05, 'val_kl_Loss_TC': 0.00421, 'val_kl_Loss_DTC': 0.00338}
89 not saved {'val_OrigRecLoss': 0.00219, 'val_FeatRecLoss': 0.00308, 'val_kl_Loss_Z': 0.08649, 'val_kl_Loss_FC': 8e-05, 'val_kl_Loss_TC': 0.0001, 'val_kl_Loss_DTC': 0.00264}
90 not saved {'val_OrigRecLoss': 0.00216, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 0.08921, 'val_kl_Loss_FC': 5e-05, 'val_kl_Loss_TC': 0.00341, 'val_kl_Loss_DTC': 0.00086}
91 not saved {'val_OrigRecLoss': 0.00223, 'val_FeatRecLoss': 0.00311, 'val_kl_Loss_Z': 0.08463, 'val_kl_Loss_FC': 4e-05, 'val_kl_Loss_TC': 0.0038, 'val_kl_Loss_DTC': 0.00099}
92 not saved {'val_OrigRecLoss': 0.0022, 'val_FeatRecLoss': 0.00308, 'val_kl_Loss_Z': 0.08308, 'val_kl_Loss_FC': 2e-05, 'val_kl_Loss_TC': 0.00585, 'val_kl_Loss_DTC': 0.00127}
93 not saved {'val_OrigRecLoss': 0.00215, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 0.08699, 'val_kl_Loss_FC': 0.00012, 'val_kl_Loss_TC': 7e-05, 'val_kl_Loss_DTC': 0.00394}
94 not saved {'val_OrigRecLoss': 0.00216, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 0.07278, 'val_kl_Loss_FC': 3e-05, 'val_kl_Loss_TC': 0.0033, 'val_kl_Loss_DTC': 0.00172}
95 not saved {'val_OrigRecLoss': 0.00218, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 0.08039, 'val_kl_Loss_FC': 0.00013, 'val_kl_Loss_TC': 0.0034, 'val_kl_Loss_DTC': 0.00203}
96 not saved {'val_OrigRecLoss': 0.00214, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 0.08671, 'val_kl_Loss_FC': 3e-05, 'val_kl_Loss_TC': 0.00149, 'val_kl_Loss_DTC': 0.00137}
97 not saved {'val_OrigRecLoss': 0.00214, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 0.08393, 'val_kl_Loss_FC': 2e-05, 'val_kl_Loss_TC': 0.00118, 'val_kl_Loss_DTC': 0.0008}
98 not saved {'val_OrigRecLoss': 0.0021, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 0.07196, 'val_kl_Loss_FC': 8e-05, 'val_kl_Loss_TC': 3e-05, 'val_kl_Loss_DTC': 0.00409}
99 not saved {'val_OrigRecLoss': 0.00227, 'val_FeatRecLoss': 0.00308, 'val_kl_Loss_Z': 0.06905, 'val_kl_Loss_FC': 2e-05, 'val_kl_Loss_TC': 0.00604, 'val_kl_Loss_DTC': 0.00081}
100 not saved {'val_OrigRecLoss': 0.00212, 'val_FeatRecLoss': 0.00308, 'val_kl_Loss_Z': 0.08059, 'val_kl_Loss_FC': 4e-05, 'val_kl_Loss_TC': 0.00045, 'val_kl_Loss_DTC': 0.00093}
