76 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.04095, 'val_kl_Loss_FC': 0.00231, 'val_kl_Loss_TC': 0.00119, 'val_kl_Loss_DTC': 0.00302}
77 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.9613, 'val_kl_Loss_FC': 0.00192, 'val_kl_Loss_TC': 0.00447, 'val_kl_Loss_DTC': 0.00298}
78 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.97204, 'val_kl_Loss_FC': 0.00198, 'val_kl_Loss_TC': 0.00956, 'val_kl_Loss_DTC': 0.00313}
79 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.96724, 'val_kl_Loss_FC': 0.00217, 'val_kl_Loss_TC': 0.00104, 'val_kl_Loss_DTC': 0.00307}
80 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.99237, 'val_kl_Loss_FC': 0.00212, 'val_kl_Loss_TC': 0.00899, 'val_kl_Loss_DTC': 0.00586}
81 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.00857, 'val_kl_Loss_FC': 0.00281, 'val_kl_Loss_TC': 0.00221, 'val_kl_Loss_DTC': 0.00321}
82 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.94377, 'val_kl_Loss_FC': 0.00205, 'val_kl_Loss_TC': 0.00278, 'val_kl_Loss_DTC': 0.0063}
83 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.95411, 'val_kl_Loss_FC': 0.00195, 'val_kl_Loss_TC': 0.00074, 'val_kl_Loss_DTC': 0.00843}
84 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.95286, 'val_kl_Loss_FC': 0.00207, 'val_kl_Loss_TC': 0.00726, 'val_kl_Loss_DTC': 0.00186}
85 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.94282, 'val_kl_Loss_FC': 0.00204, 'val_kl_Loss_TC': 0.00657, 'val_kl_Loss_DTC': 0.00451}
86 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.92628, 'val_kl_Loss_FC': 0.00205, 'val_kl_Loss_TC': 0.00416, 'val_kl_Loss_DTC': 0.00306}
87 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.9295, 'val_kl_Loss_FC': 0.00198, 'val_kl_Loss_TC': 0.00097, 'val_kl_Loss_DTC': 0.00144}
88 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.91899, 'val_kl_Loss_FC': 0.00203, 'val_kl_Loss_TC': 0.00631, 'val_kl_Loss_DTC': 0.00471}
89 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.93358, 'val_kl_Loss_FC': 0.00201, 'val_kl_Loss_TC': 0.00103, 'val_kl_Loss_DTC': 0.00375}
