47 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 2.15394, 'val_kl_Loss_FC': 0.00224, 'val_kl_Loss_TC': 221.16912, 'val_kl_Loss_MI': 5.93471}
48 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 12.62255, 'val_kl_Loss_FC': 0.0013, 'val_kl_Loss_TC': 221.24244, 'val_kl_Loss_MI': 5.94965}
49 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 4.94671, 'val_kl_Loss_FC': 0.00263, 'val_kl_Loss_TC': 221.31713, 'val_kl_Loss_MI': 5.96166}
50 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 6.90468, 'val_kl_Loss_FC': 0.00293, 'val_kl_Loss_TC': 221.33436, 'val_kl_Loss_MI': 5.9354}
51 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 10.9819, 'val_kl_Loss_FC': 0.00228, 'val_kl_Loss_TC': 221.13114, 'val_kl_Loss_MI': 5.92521}
52 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 6.16941, 'val_kl_Loss_FC': 0.00197, 'val_kl_Loss_TC': 221.24833, 'val_kl_Loss_MI': 5.9166}
53 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.70752, 'val_kl_Loss_FC': 0.00316, 'val_kl_Loss_TC': 221.79066, 'val_kl_Loss_MI': 5.9598}
54 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 12.24541, 'val_kl_Loss_FC': 0.00263, 'val_kl_Loss_TC': 221.87217, 'val_kl_Loss_MI': 5.97774}
55 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 15.82608, 'val_kl_Loss_FC': 0.00173, 'val_kl_Loss_TC': 221.69587, 'val_kl_Loss_MI': 5.98108}
56 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 15.76383, 'val_kl_Loss_FC': 0.00214, 'val_kl_Loss_TC': 221.57659, 'val_kl_Loss_MI': 5.97898}
57 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 9.6044, 'val_kl_Loss_FC': 0.00262, 'val_kl_Loss_TC': 221.65282, 'val_kl_Loss_MI': 5.97794}
58 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 10.4547, 'val_kl_Loss_FC': 0.00217, 'val_kl_Loss_TC': 221.46407, 'val_kl_Loss_MI': 5.94715}
59 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 11.70906, 'val_kl_Loss_FC': 0.00228, 'val_kl_Loss_TC': 221.64102, 'val_kl_Loss_MI': 5.95408}
60 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 10.94119, 'val_kl_Loss_FC': 0.00241, 'val_kl_Loss_TC': 221.78784, 'val_kl_Loss_MI': 5.99269}
61 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 14.7389, 'val_kl_Loss_FC': 0.00139, 'val_kl_Loss_TC': 221.589, 'val_kl_Loss_MI': 5.99377}
62 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 9.63985, 'val_kl_Loss_FC': 0.00191, 'val_kl_Loss_TC': 221.60137, 'val_kl_Loss_MI': 5.95801}
63 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 5.09255, 'val_kl_Loss_FC': 0.00262, 'val_kl_Loss_TC': 221.44514, 'val_kl_Loss_MI': 5.95}
64 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 13.00318, 'val_kl_Loss_FC': 0.00165, 'val_kl_Loss_TC': 221.59333, 'val_kl_Loss_MI': 5.98662}
65 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 3.82496, 'val_kl_Loss_FC': 0.00235, 'val_kl_Loss_TC': 222.02961, 'val_kl_Loss_MI': 5.99447}
66 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 5.3724, 'val_kl_Loss_FC': 0.00272, 'val_kl_Loss_TC': 221.80775, 'val_kl_Loss_MI': 5.9676}
67 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 18.49278, 'val_kl_Loss_FC': 0.00234, 'val_kl_Loss_TC': 221.92398, 'val_kl_Loss_MI': 5.97816}
68 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 9.84709, 'val_kl_Loss_FC': 0.00286, 'val_kl_Loss_TC': 221.77934, 'val_kl_Loss_MI': 5.97162}
69 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 18.73591, 'val_kl_Loss_FC': 0.00359, 'val_kl_Loss_TC': 221.80081, 'val_kl_Loss_MI': 5.99994}
70 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 10.76878, 'val_kl_Loss_FC': 0.00298, 'val_kl_Loss_TC': 221.97418, 'val_kl_Loss_MI': 6.01414}
