73 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.17932}
74 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.16555}
75 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.16392}
76 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.16138}
77 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.15295}
78 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.16624}
79 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.16438}
80 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.166}
81 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.15647}
82 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.17154}
83 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.1633}
84 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.16884}
85 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.16409}
86 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.15476}
87 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 1.18661}
88 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.37891}
89 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.29314}
90 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.27834}
91 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.23775}
92 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.21144}
93 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.19577}
94 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.17871}
95 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.16595}
96 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.15964}
97 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.15342}
98 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.15459}
99 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.14565}
100 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.14416}
101 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.14796}
102 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.14512}
103 not saved {'val_OrigRecLoss': 0.00149, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 1.14568}
104 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.41205}
105 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.34388}
106 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.32191}
107 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.31125}
108 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.29596}
109 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.28682}
110 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.27327}
111 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.26247}
112 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.26456}
113 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.24424}
114 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.24189}
115 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.22992}
116 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.2386}
117 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.21891}
118 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.21578}
119 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.20372}
120 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.20703}
121 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.19941}
122 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.19456}
123 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 2e-05, 'val_kl_Loss_Z': 0.20715}
124 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.19118}
125 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.18543}
126 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.18496}
127 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.17838}
128 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.18064}
129 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.18686}
130 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.17439}
131 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.17227}
132 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.1663}
133 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.17412}
134 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.16547}
135 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.17452}
136 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.15727}
137 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.16036}
138 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.1555}
