42 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 9.52869, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 226.37253, 'val_kl_Loss_MI': 6.04186}
43 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 9.82697, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 226.2286, 'val_kl_Loss_MI': 6.0383}
44 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 17.08248, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 226.33311, 'val_kl_Loss_MI': 6.04039}
45 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 5.10186, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 226.15628, 'val_kl_Loss_MI': 6.03806}
46 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 10.26019, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 226.32599, 'val_kl_Loss_MI': 6.04955}
47 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.31149, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 226.07253, 'val_kl_Loss_MI': 6.03521}
48 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 3.19297, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 226.01837, 'val_kl_Loss_MI': 6.03328}
49 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 11.65576, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 226.08603, 'val_kl_Loss_MI': 6.03794}
50 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.54344, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 226.07344, 'val_kl_Loss_MI': 6.04194}
51 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.95442, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 226.10354, 'val_kl_Loss_MI': 6.0487}
