70 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.09186}
71 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.09162}
72 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.07831}
73 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.08219}
74 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.08042}
75 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.08385}
76 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.11078}
77 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.08464}
78 saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.08098}
79 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.09027}
80 saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.07589}
81 not saved {'val_OrigRecLoss': 0.01163, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.08303}
82 saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.08372}
83 saved {'val_OrigRecLoss': 0.01135, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.08134}
84 not saved {'val_OrigRecLoss': 0.01138, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.08339}
85 saved {'val_OrigRecLoss': 0.01088, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.08162}
86 saved {'val_OrigRecLoss': 0.01019, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 0.08962}
87 saved {'val_OrigRecLoss': 0.00835, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.10096}
88 saved {'val_OrigRecLoss': 0.00698, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.08957}
89 saved {'val_OrigRecLoss': 0.0063, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.09295}
90 saved {'val_OrigRecLoss': 0.00589, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.09031}
91 saved {'val_OrigRecLoss': 0.00564, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.08793}
92 saved {'val_OrigRecLoss': 0.00546, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.08447}
93 saved {'val_OrigRecLoss': 0.00543, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 0.08}
