55 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.23678, 'val_kl_Loss_FC': 0.0}
56 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.26255, 'val_kl_Loss_FC': 1e-05}
57 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.18562, 'val_kl_Loss_FC': 0.0}
58 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.18523, 'val_kl_Loss_FC': 1e-05}
59 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.15072, 'val_kl_Loss_FC': 0.0}
60 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.12233, 'val_kl_Loss_FC': 0.0}
61 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.17786, 'val_kl_Loss_FC': 0.0}
62 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.11748, 'val_kl_Loss_FC': 1e-05}
63 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.15165, 'val_kl_Loss_FC': 0.0}
64 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.20614, 'val_kl_Loss_FC': 0.0}
65 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.10334, 'val_kl_Loss_FC': 0.0}
66 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.08629, 'val_kl_Loss_FC': 1e-05}
67 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.11703, 'val_kl_Loss_FC': 0.0}
68 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.00205, 'val_kl_Loss_FC': 0.0}
69 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.98079, 'val_kl_Loss_FC': 0.0}
70 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.04315, 'val_kl_Loss_FC': 0.0}
71 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.98247, 'val_kl_Loss_FC': 0.0}
72 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.97305, 'val_kl_Loss_FC': 0.0}
73 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.91321, 'val_kl_Loss_FC': 0.0}
74 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.99843, 'val_kl_Loss_FC': 1e-05}
75 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.9264, 'val_kl_Loss_FC': 0.0}
76 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.88388, 'val_kl_Loss_FC': 0.0}
77 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.94222, 'val_kl_Loss_FC': 0.0}
