72 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 4.39423, 'val_kl_Loss_FC': 0.00245, 'val_kl_Loss_TC': 128.42004, 'val_kl_Loss_MI': 5.98854}
73 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.79832, 'val_kl_Loss_FC': 0.00236, 'val_kl_Loss_TC': 128.65945, 'val_kl_Loss_MI': 6.01051}
74 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 5.65764, 'val_kl_Loss_FC': 0.00222, 'val_kl_Loss_TC': 128.45316, 'val_kl_Loss_MI': 5.9894}
75 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 6.36368, 'val_kl_Loss_FC': 0.00241, 'val_kl_Loss_TC': 128.58727, 'val_kl_Loss_MI': 6.00562}
76 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 2.34556, 'val_kl_Loss_FC': 0.0026, 'val_kl_Loss_TC': 128.64003, 'val_kl_Loss_MI': 6.01319}
77 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.31323, 'val_kl_Loss_FC': 0.00242, 'val_kl_Loss_TC': 129.04459, 'val_kl_Loss_MI': 6.05664}
78 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.52571, 'val_kl_Loss_FC': 0.00252, 'val_kl_Loss_TC': 128.52986, 'val_kl_Loss_MI': 6.00721}
79 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 4.058, 'val_kl_Loss_FC': 0.00244, 'val_kl_Loss_TC': 128.57858, 'val_kl_Loss_MI': 6.01257}
80 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.55057, 'val_kl_Loss_FC': 0.00257, 'val_kl_Loss_TC': 128.50442, 'val_kl_Loss_MI': 6.0069}
81 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.81951, 'val_kl_Loss_FC': 0.00199, 'val_kl_Loss_TC': 128.44161, 'val_kl_Loss_MI': 6.00366}
