85 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 19.23482, 'val_kl_Loss_FC': 0.0004, 'val_kl_Loss_TC': 118.69447, 'val_kl_Loss_MI': 1.9087}
86 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 5.88808, 'val_kl_Loss_FC': 0.00051, 'val_kl_Loss_TC': 118.74575, 'val_kl_Loss_MI': 1.75766}
87 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.68275, 'val_kl_Loss_FC': 0.00042, 'val_kl_Loss_TC': 118.80154, 'val_kl_Loss_MI': 1.57753}
88 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 10.69391, 'val_kl_Loss_FC': 0.00045, 'val_kl_Loss_TC': 118.81618, 'val_kl_Loss_MI': 1.47151}
89 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 15.97416, 'val_kl_Loss_FC': 0.00061, 'val_kl_Loss_TC': 119.00537, 'val_kl_Loss_MI': 1.45574}
90 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 22.39377, 'val_kl_Loss_FC': 0.0008, 'val_kl_Loss_TC': 118.41236, 'val_kl_Loss_MI': 2.14744}
91 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.91574, 'val_kl_Loss_FC': 0.00071, 'val_kl_Loss_TC': 118.67278, 'val_kl_Loss_MI': 1.74326}
92 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.28255, 'val_kl_Loss_FC': 0.00061, 'val_kl_Loss_TC': 118.98041, 'val_kl_Loss_MI': 1.65285}
93 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 18.58388, 'val_kl_Loss_FC': 0.00052, 'val_kl_Loss_TC': 118.73862, 'val_kl_Loss_MI': 1.74073}
94 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 9.61317, 'val_kl_Loss_FC': 0.00067, 'val_kl_Loss_TC': 118.42147, 'val_kl_Loss_MI': 2.03299}
