60 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.42262, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00462, 'val_kl_Loss_DTC': 0.00218}
61 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.42217, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00521, 'val_kl_Loss_DTC': 0.00066}
62 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.40101, 'val_kl_Loss_FC': 2e-05, 'val_kl_Loss_TC': 0.00454, 'val_kl_Loss_DTC': 0.00073}
63 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.39545, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00395, 'val_kl_Loss_DTC': 0.00118}
64 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.41013, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00725, 'val_kl_Loss_DTC': 0.00053}
65 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.41823, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00854, 'val_kl_Loss_DTC': 0.00214}
66 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.39322, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00187, 'val_kl_Loss_DTC': 0.00086}
67 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.37293, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.01097, 'val_kl_Loss_DTC': 0.00078}
68 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.37643, 'val_kl_Loss_FC': 2e-05, 'val_kl_Loss_TC': 0.00462, 'val_kl_Loss_DTC': 0.006}
69 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.42562, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00647, 'val_kl_Loss_DTC': 0.00178}
70 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.36748, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00023, 'val_kl_Loss_DTC': 0.00074}
71 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.37955, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00437, 'val_kl_Loss_DTC': 0.00133}
72 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.39218, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00311, 'val_kl_Loss_DTC': 0.00126}
73 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.36488, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00284, 'val_kl_Loss_DTC': 0.00087}
74 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.35269, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00286, 'val_kl_Loss_DTC': 0.00096}
75 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.36534, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.0039, 'val_kl_Loss_DTC': 0.00358}
76 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.35358, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00418, 'val_kl_Loss_DTC': 0.00095}
77 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.35782, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00148, 'val_kl_Loss_DTC': 0.00097}
78 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.34326, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00212, 'val_kl_Loss_DTC': 0.00111}
79 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.36154, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00228, 'val_kl_Loss_DTC': 0.00383}
80 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.33774, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00071, 'val_kl_Loss_DTC': 0.00059}
81 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.35193, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00146, 'val_kl_Loss_DTC': 0.00048}
82 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.34152, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00515, 'val_kl_Loss_DTC': 0.0009}
83 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.33385, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00313, 'val_kl_Loss_DTC': 0.00192}
84 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.34385, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00291, 'val_kl_Loss_DTC': 0.0008}
85 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.31967, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00398, 'val_kl_Loss_DTC': 0.00288}
86 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.3687, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.0003, 'val_kl_Loss_DTC': 0.00184}
