58 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 5.14905, 'val_kl_Loss_FC': 0.00073, 'val_kl_Loss_TC': 205.24629, 'val_kl_Loss_MI': 1.9764}
59 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.51141, 'val_kl_Loss_FC': 0.00023, 'val_kl_Loss_TC': 202.89101, 'val_kl_Loss_MI': 3.36839}
60 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.77668, 'val_kl_Loss_FC': 0.00063, 'val_kl_Loss_TC': 202.44526, 'val_kl_Loss_MI': 3.27126}
61 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 3.44441, 'val_kl_Loss_FC': 0.00071, 'val_kl_Loss_TC': 204.38566, 'val_kl_Loss_MI': 1.07914}
62 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 6.3064, 'val_kl_Loss_FC': 0.0011, 'val_kl_Loss_TC': 203.68186, 'val_kl_Loss_MI': 1.63998}
63 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 8.37026, 'val_kl_Loss_FC': 0.00026, 'val_kl_Loss_TC': 201.83991, 'val_kl_Loss_MI': 3.50003}
64 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 5.48299, 'val_kl_Loss_FC': 0.00045, 'val_kl_Loss_TC': 201.72628, 'val_kl_Loss_MI': 3.49058}
65 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 5.57181, 'val_kl_Loss_FC': 0.00031, 'val_kl_Loss_TC': 201.70345, 'val_kl_Loss_MI': 3.51233}
66 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 3.47158, 'val_kl_Loss_FC': 0.00019, 'val_kl_Loss_TC': 201.21144, 'val_kl_Loss_MI': 3.69892}
67 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.34912, 'val_kl_Loss_FC': 0.00092, 'val_kl_Loss_TC': 200.72598, 'val_kl_Loss_MI': 4.06442}
